ViolationType,PrincipalId,PrincipalName,RoleName,PrincipalType,AssignmentType,Scope,ScopeType,SubscriptionId
Management Group Scope,1be4b8f4-2367-4f71-91cb-ab9f8a2ae82d,ags-AZ-MG-CloudEngineering-TagContributor,Tag Contributor,Group,PIM Eligible,/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443,ManagementGroup,71f83568-809f-4b21-96b5-90502812d9e3
Management Group Scope,4f1cd040-524a-4d00-80bc-6715c415c831,ags-AZ-MG-CloudEngineering-CostManagementContributor,Cost Management Contributor,Group,PIM Eligible,/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443,ManagementGroup,71f83568-809f-4b21-96b5-90502812d9e3
Management Group Scope,912880e9-efdf-47d2-85b0-2e89b193032d,ags-AZ-MG-CloudEngineering-Contributor,Contributor,Group,PIM Eligible,/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443,ManagementGroup,71f83568-809f-4b21-96b5-90502812d9e3
Management Group Scope,fe6c4413-ae55-4c21-9452-111b1ead9a7f,ags-AZ-MG-CloudEngineering-CE-RoleAssignmentContributor,Cloud Engineering - Role Assignment Contributor,Group,PIM Eligible,/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443,ManagementGroup,71f83568-809f-4b21-96b5-90502812d9e3
Management Group Scope,da145b3f-3e6d-4294-8bea-eb49ebe9b082,ags-AZ-MG-CloudEngineering-CE-NetworkAdmin,Cloud Engineering - Centrica Network Admin,Group,PIM Eligible,/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443,ManagementGroup,71f83568-809f-4b21-96b5-90502812d9e3
Management Group Scope,172331b5-c8de-462c-92b3-edb1411923c1,ags-AZ-MG-CloudEngineering-CE-AdvisorRecommendationsContributor,Cloud Engineering - Advisor Recommendations Contributor,Group,PIM Eligible,/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443,ManagementGroup,71f83568-809f-4b21-96b5-90502812d9e3
Management Group Scope,e23616a1-6507-491c-ba1b-5652bca9dc99,ags-AZ-MG-CloudEngineering-Owner,Owner,Group,PIM Eligible,/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443,ManagementGroup,71f83568-809f-4b21-96b5-90502812d9e3
Contributor at Resource Level,,Microsoft Azure Batch,Contributor,,,/subscriptions/71f83568-809f-4b21-96b5-90502812d9e3/resourceGroups/SEFlex-NorthEurope/providers/Microsoft.KeyVault/vaults/azne-kv-p-emt-falcon-001,Resource,
Contributor at Resource Level,,Microsoft Azure Batch,Contributor,,,/subscriptions/71f83568-809f-4b21-96b5-90502812d9e3/resourceGroups/SEFlex-WestEurope/providers/Microsoft.KeyVault/vaults/azwe-kv-p-emt-falcon-001,Resource,
Contributor at Resource Level,,azsu-p-webapp-emtkm-001,Contributor,,,/subscriptions/71f83568-809f-4b21-96b5-90502812d9e3/resourceGroups/azsu-rg-prod-emt-km-001/providers/Microsoft.Storage/storageAccounts/azsustorprodkm001,Resource,
Contributor at Resource Level,,azsu-p-webapp-emtkm-001,Contributor,,,/subscriptions/71f83568-809f-4b21-96b5-90502812d9e3/resourceGroups/azsu-rg-prod-emt-km-001/providers/Microsoft.DocumentDB/databaseAccounts/azsu-p-cosnosql-emtkm-001,Resource,
Contributor at Resource Level,,azsu-p-webapp-emtppa-001,Contributor,,,/subscriptions/71f83568-809f-4b21-96b5-90502812d9e3/resourceGroups/azsu-rg-prod-emt-ppa-001/providers/Microsoft.DocumentDb/databaseAccounts/azsu-p-cosnosql-emtppa-001,Resource,
Contributor at Resource Level,,azsu-p-webapp-emtppa-001,Contributor,,,/subscriptions/71f83568-809f-4b21-96b5-90502812d9e3/resourceGroups/azsu-rg-prod-emt-genaishared-001/providers/Microsoft.Search/searchServices/azsu-p-aisearch-gai-002,Resource,
Owner at Resource Level,,Nitish Sharma (C),Owner,,,/subscriptions/71f83568-809f-4b21-96b5-90502812d9e3/resourceGroups/azsu-rg-amp-001/providers/Microsoft.OperationalInsights/workspaces/azsu-p-law-amp-001,Resource,
Owner at Resource Level,,Vivek Gupta,Owner,,,/subscriptions/71f83568-809f-4b21-96b5-90502812d9e3/resourceGroups/SEFlex-NorthEurope/providers/Microsoft.KeyVault/vaults/azne-kv-p-emt-falcon-001,Resource,
Owner at Resource Level,,Rajat Gupta (C),Owner,,,/subscriptions/71f83568-809f-4b21-96b5-90502812d9e3/resourceGroups/SEFlex-NorthEurope/providers/Microsoft.KeyVault/vaults/azne-kv-p-emt-falcon-001,Resource,
Owner at Resource Level,,Nitish Sharma (C),Owner,,,/subscriptions/71f83568-809f-4b21-96b5-90502812d9e3/resourceGroups/azsu-rg-prod-emt-ppa-001/providers/Microsoft.Storage/storageAccounts/azsuprodemtppa001,Resource,
Owner at Resource Level,,Power BI Service,Owner,,,/subscriptions/71f83568-809f-4b21-96b5-90502812d9e3/resourceGroups/azsu-rg-amp-001/providers/Microsoft.OperationalInsights/workspaces/azsu-p-law-amp-001,Resource,
Contributor at Resource Group Level,,,Contributor,,,/subscriptions/71f83568-809f-4b21-96b5-90502812d9e3/resourcegroups/azsu-rg-prod-emt-eos-01,ResourceGroup,
Contributor at Resource Group Level,,Holly Gibbons (C),Contributor,,,/subscriptions/71f83568-809f-4b21-96b5-90502812d9e3/resourceGroups/azsu-rg-prod-emt-ppa-001,ResourceGroup,
