"DisplayName","ObjectType","RoleDefinitionName","Scope"
"centrica-emt-Vault-e18bf182-61b7-4f76-9bb2-384654d0646d","ServicePrincipal","Storage Blob Data Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597/resourceGroups/azsu-rg-prod-emt-valrisk-001/providers/Microsoft.Storage/storageAccounts/azsublobprdfalcon001"
"Commvault","ServicePrincipal","Commvault Contributor- Prod","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"Densify","ServicePrincipal","Reader","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"Service-Now-Production","ServicePrincipal","Reader","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"ag-B2B-Microsoft-AzureReaders","Group","Reader","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"Microsoft Azure Log Integration Service (azlog) - e0318c5d-bd3e-46aa-8fa8-ff97760633a5","ServicePrincipal","Reader","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"centrica-emt-Earth-99f4d63e-f528-428c-a810-441b61710597","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azsu-auto-monitor_8roQ3gw//j6hhLgmNlLXaqAvJeFhZaTgAnDxngT6qR4=","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azwu-rv-p-qwx-asr-automationaccount_1yA9AEt+98v82Bwwv5pDhDWXSPAMH9HeFJ+U12NwUPw=","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azwu-rv-p-tla-asr-automationaccount_XxhK/7EAhJpbgJzmXNsOhJKc3xgKQFGpmJbdYnRF1Y4=","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azwu-rv-p-6wl-asr-automationaccount_bRjdvds2HAafm5bV6f7efXNCgf1tCy7bpZC/+h3vex8=","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"centrica-emt-Vault-99f4d63e-f528-428c-a810-441b61710597","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"centrica-emt-EnvHub-99f4d63e-f528-428c-a810-441b61710597","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"centrica-emt-Robotics-99f4d63e-f528-428c-a810-441b61710597","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"centrica-emt-Vault-99f4d63e-f528-428c-a810-441b61710597","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azwu-rw-p-cwe-asr-automationaccount_zm1LwsNaXzybaFugVgjq5F6YT78+EH4pSXnX5bqZZN4=","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azwu-rv-p-hlv-asr-automationaccount_psnnJ3/8CwgxQJTWvNSwTp0Kd7+c/feAnV2tRuf6JTM=","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"centrica-emt-Integrations-99f4d63e-f528-428c-a810-441b61710597","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"centrica-emt-Strums-99f4d63e-f528-428c-a810-441b61710597","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azwu-rv-p-yj4-asr-automationaccount_cAicKxcicP2XPV+OJzE4h8rS2Nn5sogqBmVy/5z1y2U=","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azsu-rv-p-ld8-asr-automationaccount_oQI81BHfbwPOFTQ1t/7DBW0KEnidbaneppgoT2fmYYk=","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azwu-rv-p-m01-asr-automationaccount_tPEwNgFZV9aPl54fOlkwpHb+WDAJD6bATpiwm5L8qH4=","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
